regime,target,prediction,weight_har_rv,weight_lstm,weight_tcn,weight_chronos_fintext,weight_timesfm_fintext
2,0.004254574,0.0029029143,0.000102060345,0.99290884,0.0061765276,0.00036206056,0.00045048658
1,0.003166479,0.002462136,0.001015828,0.9516217,0.042884167,0.0029854681,0.0014928816
1,0.002197715,0.0021165602,0.0016093173,0.93542594,0.05608826,0.004711366,0.0021650682
1,0.0019770467,0.0021325154,0.0013729635,0.93668216,0.055579573,0.0043961504,0.0019691596
1,0.0014092427,0.002172583,0.0015390695,0.9317438,0.059561603,0.0049227094,0.002232733
1,0.0030316017,0.0027343843,0.002289049,0.91486984,0.07300765,0.0066014887,0.0032320516
1,0.0026810465,0.0035086593,0.0021277468,0.9158018,0.07260273,0.006376138,0.0030916494
-1,0.0041645067,0.003896446,5.2873625e-06,0.9899357,0.010045214,1.3439165e-05,3.733543e-07
1,0.002500087,0.003952306,0.0021524807,0.9179886,0.070659235,0.0060619926,0.0031376572
0,0.0023390816,0.002667588,0.00015655668,0.9692592,0.03029354,0.00027068477,1.9939667e-05
0,0.0021406147,0.0023173024,8.022755e-05,0.97438747,0.025347441,0.00017643775,8.401743e-06
0,0.0021015771,0.0020957177,6.838631e-05,0.974518,0.025255073,0.0001508147,7.774043e-06
0,0.0015263312,0.0020907654,8.345462e-05,0.9728329,0.02689173,0.0001812824,1.0657484e-05
0,0.0016448232,0.0024937873,0.00013788132,0.97007936,0.029481927,0.00028197592,1.8924604e-05
1,0.0034765743,0.003275707,0.0017936253,0.9297263,0.06105335,0.0051694773,0.0022572575
-1,0.004135793,0.003699441,2.7094459e-06,0.99227965,0.007710482,7.0965452e-06,1.2408623e-07
1,0.0019037477,0.0035368684,0.00241402,0.91626567,0.071337044,0.0066174334,0.0033658543
0,0.0019690534,0.0023401808,0.00016412047,0.96958166,0.029968012,0.00026557047,2.06539e-05
0,0.0014813171,0.0019401078,0.00011590766,0.9716698,0.027981838,0.00021980562,1.2613487e-05
