regime,target,prediction,weight_har_rv,weight_lstm,weight_tcn,weight_chronos_fintext,weight_timesfm_fintext
1,0.0012572785,0.0025687632,0.038507372,0.49019024,0.3459429,0.025142321,0.10021711
2,0.0062449337,0.0031274278,0.0056569707,0.42899308,0.42312038,0.0017257658,0.14050378
-1,0.007125185,0.0053258124,0.029864596,0.5703966,0.33450726,0.051673677,0.013557929
2,0.007085006,0.0056533003,0.005375527,0.40832785,0.41599965,0.0016521337,0.16864488
0,0.0047135795,0.0038996716,0.07180377,0.42717022,0.34022632,0.10835017,0.0524495
0,0.0020490487,0.003293458,0.0658211,0.44278866,0.3429927,0.10027807,0.048119552
0,0.002255046,0.0029099365,0.05852952,0.46181357,0.3519545,0.087361194,0.04034121
0,0.0016668616,0.0027512752,0.050870772,0.4890597,0.3554602,0.07215,0.032459293
0,0.0019664327,0.0031317463,0.052192453,0.49304613,0.3513596,0.072234444,0.031167325
-1,0.007401685,0.00498282,0.024657583,0.5902143,0.3380777,0.037053056,0.009997366
2,0.0076083397,0.0056877066,0.0057617654,0.41056427,0.4255341,0.0017523776,0.15638748
0,0.0022500579,0.0037901732,0.057455435,0.48998478,0.33549917,0.08319397,0.033866655
0,0.0024201197,0.003065045,0.052196763,0.49855888,0.34179816,0.07712585,0.03032042
0,0.0025628447,0.0029209591,0.05674688,0.4874541,0.34199503,0.080765255,0.033038747
0,0.0025191787,0.0028528236,0.05523131,0.49369112,0.34224316,0.07662513,0.032209236
1,0.002667303,0.0035139138,0.042345855,0.48228994,0.32668817,0.026526038,0.12214992
-1,0.008771439,0.004990866,0.020871205,0.62225497,0.31583208,0.033684008,0.007357732
2,0.008642003,0.00617639,0.0040054605,0.42279175,0.40641326,0.0010646112,0.16572487
0,0.002662543,0.0037975027,0.055581305,0.48785907,0.3409544,0.08298059,0.032624707
0,0.003611412,0.0031280278,0.057597794,0.48510352,0.3428603,0.083169304,0.03126906
0,0.003211101,0.00303005,0.051163133,0.49951208,0.3456968,0.07458179,0.029046107
0,0.0031768784,0.0028969697,0.05309421,0.5000954,0.34879276,0.07106255,0.026955051
0,0.0029291757,0.003345488,0.05560066,0.49218765,0.346451,0.075195566,0.030565156
-1,0.0033854395,0.0051771547,0.01809664,0.63498354,0.31460896,0.02685839,0.0054525277
0,0.0030508596,0.005722468,0.057598654,0.48876014,0.33260587,0.08730411,0.033731166
0,0.0028150475,0.0034981905,0.04873948,0.50140345,0.35022566,0.07244376,0.027187597
0,0.0028435248,0.002996147,0.050890785,0.4981199,0.35217777,0.07186579,0.02694575
0,0.0014448758,0.0026977991,0.048728466,0.5118652,0.35229367,0.06370836,0.02340427
0,0.0026954883,0.0025650985,0.048793733,0.5140826,0.3519033,0.06214352,0.02307683
0,0.0014727595,0.0029413882,0.052566238,0.50530267,0.35075372,0.06603853,0.025338825
-1,0.006463155,0.005077997,0.015691672,0.6426768,0.31310812,0.023546865,0.0049765897
2,0.0064970795,0.00548062,0.0052533373,0.418484,0.4213602,0.0015746753,0.15332778
0,0.0020394938,0.0034807203,0.062082183,0.46281418,0.34126562,0.093055084,0.040782917
0,0.0013289984,0.0027945691,0.0593417,0.46574223,0.35032234,0.08743559,0.037158173
0,0.0027063445,0.0024194783,0.052752182,0.4917289,0.3559713,0.07102157,0.028526064
0,0.00121175,0.002606476,0.049811345,0.5011233,0.35189003,0.06771486,0.029460467
0,0.00169187,0.002793824,0.05501975,0.4884712,0.35407904,0.07217926,0.03025068
-1,0.010777031,0.0048852446,0.022315627,0.6024897,0.33303025,0.033429414,0.008734929
2,0.010969128,0.0054018768,0.006274094,0.41714504,0.4184351,0.001924225,0.15622148
2,0.004378718,0.0037661176,0.0028419548,0.42142597,0.4250164,0.0006271886,0.15008846
2,0.0027428144,0.0033485303,0.0033941844,0.4234961,0.42316443,0.0008042032,0.14914107
0,0.0016825844,0.0029185542,0.067606196,0.46052325,0.3374534,0.09177212,0.042645074
0,0.0021012686,0.0027086148,0.061188783,0.48138216,0.3422062,0.07924033,0.035982527
0,0.0016589988,0.0033674883,0.06322858,0.47418046,0.34160116,0.083797164,0.037192628
-1,0.0028611976,0.0047669876,0.023519462,0.61260176,0.3198981,0.03534815,0.008632562
0,0.0032649653,0.0050313706,0.07079516,0.45267126,0.33486298,0.09967577,0.041994818
0,0.004092601,0.0036323445,0.047328025,0.5182548,0.3403259,0.070002444,0.024088828
0,0.0012766359,0.0030971798,0.047949005,0.51473564,0.3421657,0.070972376,0.02417725
0,0.002089554,0.0026407398,0.044426817,0.5292011,0.34362385,0.06137646,0.021371791
0,0.0018913784,0.002637812,0.044176478,0.53550196,0.34110904,0.0584804,0.020732109
0,0.0014740517,0.00313862,0.049335897,0.52322763,0.3416361,0.06351957,0.022280784
-1,0.006354623,0.004340971,0.018085215,0.6355738,0.31346485,0.027380943,0.005495116
2,0.0066021187,0.0047658524,0.005069767,0.42982632,0.42117158,0.0014575024,0.14247483
0,0.0022790185,0.00379015,0.050812993,0.5111228,0.33821034,0.07361774,0.026236074
0,0.0013909158,0.0031549176,0.04906701,0.51087666,0.34334376,0.07107171,0.025640845
0,0.0010449917,0.0027151518,0.047419265,0.5223886,0.34696937,0.06192644,0.021296363
2,0.0061389045,0.0029023332,0.00400498,0.4355133,0.42030728,0.0010614584,0.139113
2,0.0041795825,0.004516079,0.0033053507,0.4275144,0.4220773,0.0008636892,0.14623927
-1,0.0031671163,0.0058555217,0.02618402,0.59470004,0.32924652,0.040466134,0.009403259
0,0.0032998242,0.005768351,0.06569261,0.4594255,0.33384207,0.10126629,0.03977352
0,0.0028706137,0.0037901348,0.052906945,0.4832459,0.35071054,0.081647515,0.031489074
0,0.0022085104,0.0031440652,0.056180492,0.47409663,0.35572004,0.082691796,0.03131105
0,0.0027864967,0.0028461604,0.05012831,0.4926603,0.36014327,0.07014184,0.026926238
