model,Low Vol,Medium Vol,High Vol
ensemble,0.0012323358167034197,0.0013796633978490128,0.003864756119994485
har_rv,0.0017439613259286873,0.0019614539645586068,0.007307196418166358
lstm,0.0010844463809077153,0.0013651346477458394,0.0038076550689065598
tcn,0.001131722071712399,0.0016511250814611439,0.003937492203088136
chronos_fintext,0.001318511550426938,0.0018329918418270293,0.005842772634503979
timesfm_fintext,0.0012993304571775883,0.0018409692081313453,0.005843734478229549
