model,instrument,val_rmse,val_mae,val_qlike,val_r2,n_samples
LSTM,INDX.CAC,0.0011475944193080068,0.0007002797210589051,0.060440339148044586,0.7330081462860107,6099.0
LSTM,INDX.SPX,0.003244298743084073,0.001535964896902442,0.13601070642471313,0.6265398859977722,5254.0
LSTM,INDX.TPX,0.002887231530621648,0.0016292056534439325,0.16436441242694855,0.42535072565078735,3283.0
LSTM,INDX.UKX,0.0010194015922024846,0.000601479783654213,0.0471685566008091,0.7217952013015747,6004.0
LSTM,INDX.NDX,0.003385308664292097,0.0016688733594492078,0.10499424487352371,0.6076270341873169,5247.0
LSTM,INDX.FTSEMIB,0.0014194578398019075,0.0007563934777863324,0.05235573649406433,0.6692649722099304,6074.0
LSTM,INDX.SMI,0.0009511140524409711,0.0005492244963534176,0.047599077224731445,0.7335695028305054,6007.0
TCN,INDX.CAC,0.001344537828117609,0.0008177889976650476,0.07413308322429657,0.6335057020187378,6099.0
TCN,INDX.SPX,0.00333802099339664,0.0015086433850228786,0.11781378090381622,0.6046509742736816,5254.0
TCN,INDX.TPX,0.0029944234993308783,0.0016965793911367655,0.1808408796787262,0.38188958168029785,3283.0
TCN,INDX.UKX,0.0011040645185858011,0.0006684622494503856,0.05670623108744621,0.6736655831336975,6004.0
TCN,INDX.NDX,0.0035012320149689913,0.0017076194053515792,0.10237276554107666,0.5802948474884033,5247.0
TCN,INDX.FTSEMIB,0.0015054725809022784,0.0008631438831798732,0.06553064286708832,0.6279674768447876,6074.0
TCN,INDX.SMI,0.0010002233320847154,0.0005731218261644244,0.05290892720222473,0.7053457498550415,6007.0
