instrument,train_rmse,train_mae,train_qlike,train_r2,val_rmse,val_mae,val_qlike,val_r2,train_samples,val_samples
INDX.CAC,0.0007600189088452449,5.57141887952548e-05,0.0007689163745676512,0.9916049053594781,0.0006416653511888442,6.118394694984257e-05,0.0010486619372144371,0.9948823587634493,480396,78086
INDX.SPX,0.0005464289116192173,5.146761687714789e-05,0.0009808518236736137,0.9935344183493722,0.000725048029424831,6.40512506125116e-05,0.0013909090637532775,0.9945557262423005,369685,58752
INDX.TPX,0.0011258867400396843,0.00013700663071896125,0.0027879488112317508,0.9821943151758655,0.000836070482474799,0.00011984819025692145,0.002980889072514108,0.9857290326058887,282776,44408
INDX.UKX,0.0005148725255651015,3.929725615252683e-05,0.0006372885540972901,0.9942145930686066,0.0005823536079132599,4.4992194134725716e-05,0.0009100452719879895,0.9948085708778914,438893,76824
INDX.NDX,0.0007198743538248615,6.702371277477841e-05,0.0009500062121550197,0.9949156399662044,0.0007602634128827795,6.918827462023907e-05,0.0012175399625165718,0.9937780895754152,361027,58674
INDX.FTSEMIB,0.0006382760272955709,4.973179977487396e-05,0.0006522820980107912,0.9936406652860038,0.0005808892471388596,5.165928799525379e-05,0.0007819429396796249,0.9953497795442184,373215,77723
INDX.SMI,0.0005337880308901609,4.073156450540269e-05,0.0006530471969408113,0.993728323467134,0.0004590225258214361,3.917236848559711e-05,0.0007077973336120341,0.9960964804999136,284446,76908
