model,instrument,val_rmse,val_mae,val_qlike,val_r2,n_samples
MOE,INDX.CAC,0.001144931884482503,0.0006783359567634761,0.05657844990491867,0.7342455983161926,6098.0
MOE,INDX.SPX,0.0035519900266081095,0.001674124039709568,0.15833182632923126,0.5523423552513123,5254.0
MOE,INDX.TPX,0.0030035481322556734,0.0017399319913238287,0.20398369431495667,0.3788795471191406,3139.0
MOE,INDX.UKX,0.0010531217558309436,0.0006271382444538176,0.051766831427812576,0.7031077146530151,6002.0
MOE,INDX.NDX,0.003566531464457512,0.0017379735363647342,0.3377731740474701,0.5644935369491577,5247.0
MOE,INDX.FTSEMIB,0.0014552869834005833,0.0008143472368828952,0.06039004400372505,0.6523577570915222,6072.0
MOE,INDX.SMI,0.0010553891770541668,0.000613741809502244,0.06298339366912842,0.6719469428062439,6006.0
