model,instrument,val_rmse,val_mae,val_qlike,val_r2,n_samples
TIMESFM_FINTEXT,INDX.CAC,0.002043773931498384,0.0012052717987824815,0.16298732023034923,0.1510745054539172,6120.0
TIMESFM_FINTEXT,INDX.SPX,0.005084578315786837,0.0025901799155593676,0.36237611505933254,0.08278099268979022,5274.0
TIMESFM_FINTEXT,INDX.TPX,0.004063460091393729,0.00222190968466187,0.2939824112447355,0.0016871407227693203,3308.0
TIMESFM_FINTEXT,INDX.UKX,0.0017270945515481108,0.000998842648190672,0.12517214500102256,0.19928644419104646,6024.0
TIMESFM_FINTEXT,INDX.NDX,0.005221983873791844,0.002918372728878541,0.3033637653094266,0.06726431714610925,5267.0
TIMESFM_FINTEXT,INDX.FTSEMIB,0.002267715947581874,0.0012812849277774594,0.14254357367264014,0.15379493695815039,6093.0
TIMESFM_FINTEXT,INDX.SMI,0.0016825470808386367,0.0009189462336641538,0.12531413052367005,0.16464228411117032,6026.0
